,index,block,block_length,line,line_length,part_of_word,block_words
37,32,"The house wasn't nearly large enough for so many people, and life was extremely uncomfortable for them all. There were only two rooms in the place altogether and there was only one bed. The bed was given to the four old grandparents because they were so old and tired. They were so tired, they never got out of it.",4,The bed was given to the four old grandparents because they were so old and tired.,16,"['DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'NUM', 'ADJ', 'SCONJ', 'PRON', 'ADV', 'CCONJ', 'PUNCT']",60
38,32,"The house wasn't nearly large enough for so many people, and life was extremely uncomfortable for them all. There were only two rooms in the place altogether and there was only one bed. The bed was given to the four old grandparents because they were so old and tired. They were so tired, they never got out of it.",4,"They were so tired, they never got out of it.",10,"['PRON', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'VERB', 'ADP']",60
39,33,"Grandpa Joe and Grandma Josephine on this side, Grandpa George and Grandma Georgina on that side.",1,"Grandpa Joe and Grandma Josephine on this side, Grandpa George and Grandma Georgina on that side.",16,"['PROPN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT']",16
40,34,"Mr. and Mrs. Bucket and little Charlie Bucket slept in the other room, upon mattresses on the floor.",1,"Mr. and Mrs. Bucket and little Charlie Bucket slept in the other room, upon mattresses on the floor.",18,"['PROPN', 'CCONJ', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'SCONJ']",18
41,35,"In the summertime, this wasn't too bad, but in the win-ter, freezing cold drafts blew across the floor all night long, and it was awful.",1,"In the summertime, this was not too bad, but in the win-ter, freezing cold drafts blew across the floor all night long, and it was awful.",26,"['ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'PART', 'ADV', 'ADJ', 'CCONJ', 'VERB']",26
42,36,There wasn't any question of them being able to buy a better house-or even one more bed to sleep in. They were far too poor for that.,2,There was not any question of them being able to buy a better house-or even one more bed to sleep in.,21,"['PRON', 'VERB', 'PART', 'DET', 'NOUN', 'ADP', 'AUX', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'NUM']",28
43,36,There wasn't any question of them being able to buy a better house-or even one more bed to sleep in. They were far too poor for that.,2,They were far too poor for that.,7,"['PRON', 'AUX', 'ADV', 'ADJ', 'ADP', 'PUNCT']",28
44,37,"Mr. Bucket was the only person in the family with a job. He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled. But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed. There wasn't even enough money to buy proper food for them all. The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper. Sundays were a bit better. They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",7,Mr. Bucket was the only person in the family with a job.,12,"['PROPN', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'PUNCT']",151
45,37,"Mr. Bucket was the only person in the family with a job. He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled. But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed. There wasn't even enough money to buy proper food for them all. The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper. Sundays were a bit better. They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",7,"He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled.",34,"['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'SCONJ', 'ADV', 'CCONJ', 'ADJ', 'AUX']",151
46,37,"Mr. Bucket was the only person in the family with a job. He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled. But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed. There wasn't even enough money to buy proper food for them all. The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper. Sundays were a bit better. They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",7,"But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed.",44,"['CCONJ', 'DET', 'NOUN', 'PUNCT', 'AUX', 'ADV', 'VERB', 'ADJ', 'PROPN', 'PRON', 'ADP', 'PART', 'NUM']",151
47,37,"Mr. Bucket was the only person in the family with a job. He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled. But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed. There wasn't even enough money to buy proper food for them all. The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper. Sundays were a bit better. They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",7,There was not even enough money to buy proper food for them all.,13,"['PRON', 'VERB', 'PART', 'ADV', 'ADJ', 'NOUN', 'ADP', 'PUNCT']",151
48,37,"Mr. Bucket was the only person in the family with a job. He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled. But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed. There wasn't even enough money to buy proper food for them all. The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper. Sundays were a bit better. They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",7,"The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper.",23,"['DET', 'ADJ', 'NOUN', 'PRON', 'AUX', 'VERB', 'CCONJ', 'ADP', 'PUNCT', 'PROPN']",151
49,37,"Mr. Bucket was the only person in the family with a job. He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled. But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed. There wasn't even enough money to buy proper food for them all. The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper. Sundays were a bit better. They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",7,Sundays were a bit better.,5,"['NOUN', 'AUX', 'DET', 'ADJ', 'PUNCT']",151
50,37,"Mr. Bucket was the only person in the family with a job. He worked in a toothpaste factory, where he sat all day long at a bench and screwed the little caps onto the tops of the tubes of toothpaste after the tubes had been filled. But a toothpaste cap-screwer is never paid very much money, and poor Mr. Bucket, however hard he worked, and however fast he screwed on the caps, was never able to make enough to buy one-half of the things that so large a family needed. There wasn't even enough money to buy proper food for them all. The only meals they could afford were bread and margarine for breakfast, boiled potatoes and cabbage for lunch, and cabbage soup for supper. Sundays were a bit better. They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",7,"They all looked for-ward to Sundays because then, although they had exactly the same, everyone was allowed a second helping.",20,"['PRON', 'VERB', 'ADP', 'PUNCT', 'NOUN', 'PROPN', 'SCONJ', 'ADV', 'DET', 'ADJ', 'AUX']",151
51,38,"The Buckets, of course, didn't starve, but every one of them-the two old grandfathers, the two old grandmoth-ers, Charlie's father, Charlie's mother, and especially little Charlie himself-went about from morning till night with a horrible empty feeling in their tummies.",1,"The Buckets, of course, did not starve, but every one of them-the two old grandfathers, the two old grandmoth-ers, Charlie's father, Charlie's mother, and especially little Charlie himself-went about from morning till night with a horrible empty feeling in their tummies.",41,"['DET', 'NOUN', 'PUNCT', 'ADP', 'AUX', 'PART', 'VERB', 'CCONJ', 'NUM', 'PRON', 'ADJ', 'PROPN', 'ADV', 'SCONJ']",41
52,39,"Charlie felt it worst of all. And although his father and mother often went without their own share of lunch or supper so that they could give it to him, it still wasn't nearly enough for a growing boy. He desperately wanted something more filling and satisfying than cabbage and cabbage soup. The one thing he longed for more than any-thing else was . . . CHOCOLATE.",5,Charlie felt it worst of all.,6,"['PROPN', 'VERB', 'PRON', 'ADJ', 'ADP', 'PUNCT']",68
53,39,"Charlie felt it worst of all. And although his father and mother often went without their own share of lunch or supper so that they could give it to him, it still wasn't nearly enough for a growing boy. He desperately wanted something more filling and satisfying than cabbage and cabbage soup. The one thing he longed for more than any-thing else was . . . CHOCOLATE.",5,"And although his father and mother often went without their own share of lunch or supper so that they could give it to him, it still was not nearly enough for a growing boy.",34,"['CCONJ', 'SCONJ', 'PRON', 'NOUN', 'ADV', 'VERB', 'ADP', 'ADJ', 'AUX', 'PUNCT', 'PART', 'DET']",68
54,39,"Charlie felt it worst of all. And although his father and mother often went without their own share of lunch or supper so that they could give it to him, it still wasn't nearly enough for a growing boy. He desperately wanted something more filling and satisfying than cabbage and cabbage soup. The one thing he longed for more than any-thing else was . . . CHOCOLATE.",5,He desperately wanted something more filling and satisfying than cabbage and cabbage soup.,13,"['PRON', 'ADV', 'VERB', 'ADJ', 'CCONJ', 'ADP', 'NOUN', 'PROPN', 'PUNCT']",68
55,39,"Charlie felt it worst of all. And although his father and mother often went without their own share of lunch or supper so that they could give it to him, it still wasn't nearly enough for a growing boy. He desperately wanted something more filling and satisfying than cabbage and cabbage soup. The one thing he longed for more than any-thing else was . . . CHOCOLATE.",5,The one thing he longed for more than any-thing else was . . .,14,"['DET', 'NUM', 'NOUN', 'PRON', 'VERB', 'ADP', 'ADJ', 'PUNCT', 'ADV', 'AUX']",68
56,39,"Charlie felt it worst of all. And although his father and mother often went without their own share of lunch or supper so that they could give it to him, it still wasn't nearly enough for a growing boy. He desperately wanted something more filling and satisfying than cabbage and cabbage soup. The one thing he longed for more than any-thing else was . . . CHOCOLATE.",5,CHOCOLATE.,1,"['NOUN', 'PUNCT']",68
57,40,"Walking to school in the mornings, Charlie could see great slabs of chocolate piled up high in the shop win-dows, and he would stop and stare and press his nose against the glass, his mouth watering like mad. Many times a day, he would see other children taking creamy candy bars out of their pockets and munching them greedily, and that, of course, was pure torture.",2,"Walking to school in the mornings, Charlie could see great slabs of chocolate piled up high in the shop win-dows, and he would stop and stare and press his nose against the glass, his mouth watering like mad.",38,"['VERB', 'ADP', 'NOUN', 'DET', 'PUNCT', 'PROPN', 'AUX', 'ADJ', 'ADV', 'CCONJ', 'PRON']",66
58,40,"Walking to school in the mornings, Charlie could see great slabs of chocolate piled up high in the shop win-dows, and he would stop and stare and press his nose against the glass, his mouth watering like mad. Many times a day, he would see other children taking creamy candy bars out of their pockets and munching them greedily, and that, of course, was pure torture.",2,"Many times a day, he would see other children taking creamy candy bars out of their pockets and munching them greedily, and that, of course, was pure torture.",28,"['ADJ', 'NOUN', 'DET', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'CCONJ', 'ADV', 'SCONJ']",66
59,41,"Only once a year, on his birthday, did Charlie Bucket ever get to taste a bit of chocolate. The whole family saved up their money for that special occasion, and when the great day arrived, Charlie was always presented with one small chocolate bar to eat all by himself. And each time he received it, on those marvelous birthday morn-ings, he would place it carefully in a small wooden box that he owned, and treasure it as though it were a bar of solid gold; and for the next few days, he would allow him-self only to look at it, but never to touch it. Then at last, when he could stand it no longer, he would peel back a tiny bit of the paper wrapping at one corner to expose a tiny bit of chocolate, and then he would take a tiny nibble-just enough to allow the lovely sweet taste to spread out slowly over his tongue. The next day, he would take another tiny nibble, and so on, and so on. And in this way, Charlie would make his ten-cent bar of birthday chocolate last him for more than a month.",6,"Only once a year, on his birthday, did Charlie Bucket ever get to taste a bit of chocolate.",18,"['ADV', 'DET', 'NOUN', 'PUNCT', 'ADP', 'PRON', 'AUX', 'PROPN', 'VERB', 'PART']",193
60,41,"Only once a year, on his birthday, did Charlie Bucket ever get to taste a bit of chocolate. The whole family saved up their money for that special occasion, and when the great day arrived, Charlie was always presented with one small chocolate bar to eat all by himself. And each time he received it, on those marvelous birthday morn-ings, he would place it carefully in a small wooden box that he owned, and treasure it as though it were a bar of solid gold; and for the next few days, he would allow him-self only to look at it, but never to touch it. Then at last, when he could stand it no longer, he would peel back a tiny bit of the paper wrapping at one corner to expose a tiny bit of chocolate, and then he would take a tiny nibble-just enough to allow the lovely sweet taste to spread out slowly over his tongue. The next day, he would take another tiny nibble, and so on, and so on. And in this way, Charlie would make his ten-cent bar of birthday chocolate last him for more than a month.",6,"The whole family saved up their money for that special occasion, and when the great day arrived, Charlie was always presented with one small chocolate bar to eat all by himself.",31,"['DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PRON', 'PUNCT', 'CCONJ', 'SCONJ', 'PROPN', 'AUX', 'ADV', 'NUM', 'PART']",193
61,41,"Only once a year, on his birthday, did Charlie Bucket ever get to taste a bit of chocolate. The whole family saved up their money for that special occasion, and when the great day arrived, Charlie was always presented with one small chocolate bar to eat all by himself. And each time he received it, on those marvelous birthday morn-ings, he would place it carefully in a small wooden box that he owned, and treasure it as though it were a bar of solid gold; and for the next few days, he would allow him-self only to look at it, but never to touch it. Then at last, when he could stand it no longer, he would peel back a tiny bit of the paper wrapping at one corner to expose a tiny bit of chocolate, and then he would take a tiny nibble-just enough to allow the lovely sweet taste to spread out slowly over his tongue. The next day, he would take another tiny nibble, and so on, and so on. And in this way, Charlie would make his ten-cent bar of birthday chocolate last him for more than a month.",6,"And each time he received it, on those marvelous birthday morn-ings, he would place it carefully in a small wooden box that he owned, and treasure it as though it were a bar of solid gold; and for the next few days, he would allow him-self only to look at it, but never to touch it.",56,"['CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'ADP', 'ADJ', 'AUX', 'ADV', 'SCONJ', 'PART']",193
62,41,"Only once a year, on his birthday, did Charlie Bucket ever get to taste a bit of chocolate. The whole family saved up their money for that special occasion, and when the great day arrived, Charlie was always presented with one small chocolate bar to eat all by himself. And each time he received it, on those marvelous birthday morn-ings, he would place it carefully in a small wooden box that he owned, and treasure it as though it were a bar of solid gold; and for the next few days, he would allow him-self only to look at it, but never to touch it. Then at last, when he could stand it no longer, he would peel back a tiny bit of the paper wrapping at one corner to expose a tiny bit of chocolate, and then he would take a tiny nibble-just enough to allow the lovely sweet taste to spread out slowly over his tongue. The next day, he would take another tiny nibble, and so on, and so on. And in this way, Charlie would make his ten-cent bar of birthday chocolate last him for more than a month.",6,"Then at last, when he could stand it no longer, he would peel back a tiny bit of the paper wrapping at one corner to expose a tiny bit of chocolate, and then he would take a tiny nibble-just enough to allow the lovely sweet taste to spread out slowly over his tongue.",53,"['ADV', 'ADP', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'NUM', 'PART', 'CCONJ']",193
63,41,"Only once a year, on his birthday, did Charlie Bucket ever get to taste a bit of chocolate. The whole family saved up their money for that special occasion, and when the great day arrived, Charlie was always presented with one small chocolate bar to eat all by himself. And each time he received it, on those marvelous birthday morn-ings, he would place it carefully in a small wooden box that he owned, and treasure it as though it were a bar of solid gold; and for the next few days, he would allow him-self only to look at it, but never to touch it. Then at last, when he could stand it no longer, he would peel back a tiny bit of the paper wrapping at one corner to expose a tiny bit of chocolate, and then he would take a tiny nibble-just enough to allow the lovely sweet taste to spread out slowly over his tongue. The next day, he would take another tiny nibble, and so on, and so on. And in this way, Charlie would make his ten-cent bar of birthday chocolate last him for more than a month.",6,"The next day, he would take another tiny nibble, and so on, and so on.",15,"['DET', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'VERB', 'CCONJ', 'ADV']",193
64,41,"Only once a year, on his birthday, did Charlie Bucket ever get to taste a bit of chocolate. The whole family saved up their money for that special occasion, and when the great day arrived, Charlie was always presented with one small chocolate bar to eat all by himself. And each time he received it, on those marvelous birthday morn-ings, he would place it carefully in a small wooden box that he owned, and treasure it as though it were a bar of solid gold; and for the next few days, he would allow him-self only to look at it, but never to touch it. Then at last, when he could stand it no longer, he would peel back a tiny bit of the paper wrapping at one corner to expose a tiny bit of chocolate, and then he would take a tiny nibble-just enough to allow the lovely sweet taste to spread out slowly over his tongue. The next day, he would take another tiny nibble, and so on, and so on. And in this way, Charlie would make his ten-cent bar of birthday chocolate last him for more than a month.",6,"And in this way, Charlie would make his ten-cent bar of birthday chocolate last him for more than a month.",20,"['CCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PROPN', 'AUX', 'VERB', 'PRON', 'NUM', 'ADJ']",193
65,42,"But I haven't yet told you about the one awful thing that tortured little Charlie, the lover of chocolate, more than anything else. This thing, for him, was far, far worse than seeing slabs of chocolate in the shop windows or watching other children munching creamy candy bars right in front of him. It was the most terrible torturing thing you could imagine, and it was this:",3,"But I have not yet told you about the one awful thing that tortured little Charlie, the lover of chocolate, more than anything else.",24,"['CCONJ', 'PRON', 'AUX', 'PART', 'ADV', 'VERB', 'ADP', 'DET', 'NUM', 'ADJ', 'NOUN', 'PROPN', 'PUNCT']",68
66,42,"But I haven't yet told you about the one awful thing that tortured little Charlie, the lover of chocolate, more than anything else. This thing, for him, was far, far worse than seeing slabs of chocolate in the shop windows or watching other children munching creamy candy bars right in front of him. It was the most terrible torturing thing you could imagine, and it was this:",3,"This thing, for him, was far, far worse than seeing slabs of chocolate in the shop windows or watching other children munching creamy candy bars right in front of him.",30,"['DET', 'NOUN', 'PUNCT', 'ADP', 'PRON', 'AUX', 'ADV', 'ADJ', 'VERB', 'CCONJ']",68
67,42,"But I haven't yet told you about the one awful thing that tortured little Charlie, the lover of chocolate, more than anything else. This thing, for him, was far, far worse than seeing slabs of chocolate in the shop windows or watching other children munching creamy candy bars right in front of him. It was the most terrible torturing thing you could imagine, and it was this:",3,"It was the most terrible torturing thing you could imagine, and it was this:",14,"['PRON', 'AUX', 'DET', 'ADV', 'ADJ', 'VERB', 'NOUN', 'PUNCT', 'CCONJ']",68
68,43,"In the town itself, actually within sight of the house in which Charlie lived, there was an ENORMOUS CHOCOLATE FACTORY!",1,"In the town itself, actually within sight of the house in which Charlie lived, there was an ENORMOUS CHOCOLATE FACTORY!",20,"['ADP', 'DET', 'NOUN', 'PRON', 'PUNCT', 'ADV', 'PROPN', 'VERB']",20
69,44,Just imagine that!,1,Just imagine that!,3,"['ADV', 'VERB', 'SCONJ', 'PUNCT']",3
70,45,"And it wasn't simply an ordinary enormous chocolate factory, either. It was the largest and most famous in the whole world! It was WONKA'S FACTORY, owned by a man called Mr. Willy Wonka, the greatest inventor and maker of chocolates that there has ever been. And what a tremen-dous, marvelous place it was! It had huge iron gates lead-ing in to it, and a high wall surrounding it, and smoke belching from its chimneys, and strange whizzing sounds coming from deep inside it. And outside the walls, for half a mile around in every direction, the air was scented with the heavy rich smell of melting chocolate!",6,"And it was not simply an ordinary enormous chocolate factory, either.",11,"['CCONJ', 'PRON', 'AUX', 'PART', 'ADV', 'DET', 'ADJ', 'NOUN', 'PUNCT']",108
71,45,"And it wasn't simply an ordinary enormous chocolate factory, either. It was the largest and most famous in the whole world! It was WONKA'S FACTORY, owned by a man called Mr. Willy Wonka, the greatest inventor and maker of chocolates that there has ever been. And what a tremen-dous, marvelous place it was! It had huge iron gates lead-ing in to it, and a high wall surrounding it, and smoke belching from its chimneys, and strange whizzing sounds coming from deep inside it. And outside the walls, for half a mile around in every direction, the air was scented with the heavy rich smell of melting chocolate!",6,It was the largest and most famous in the whole world!,11,"['PRON', 'AUX', 'DET', 'ADJ', 'CCONJ', 'ADV', 'ADP', 'NOUN', 'PUNCT']",108
72,45,"And it wasn't simply an ordinary enormous chocolate factory, either. It was the largest and most famous in the whole world! It was WONKA'S FACTORY, owned by a man called Mr. Willy Wonka, the greatest inventor and maker of chocolates that there has ever been. And what a tremen-dous, marvelous place it was! It had huge iron gates lead-ing in to it, and a high wall surrounding it, and smoke belching from its chimneys, and strange whizzing sounds coming from deep inside it. And outside the walls, for half a mile around in every direction, the air was scented with the heavy rich smell of melting chocolate!",6,"It was WONKA'S FACTORY, owned by a man called Mr. Willy Wonka, the greatest inventor and maker of chocolates that there has ever been.",24,"['PRON', 'AUX', 'PROPN', 'PART', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADV']",108
73,45,"And it wasn't simply an ordinary enormous chocolate factory, either. It was the largest and most famous in the whole world! It was WONKA'S FACTORY, owned by a man called Mr. Willy Wonka, the greatest inventor and maker of chocolates that there has ever been. And what a tremen-dous, marvelous place it was! It had huge iron gates lead-ing in to it, and a high wall surrounding it, and smoke belching from its chimneys, and strange whizzing sounds coming from deep inside it. And outside the walls, for half a mile around in every direction, the air was scented with the heavy rich smell of melting chocolate!",6,"And what a tremen-dous, marvelous place it was!",8,"['CCONJ', 'PRON', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'AUX']",108
74,45,"And it wasn't simply an ordinary enormous chocolate factory, either. It was the largest and most famous in the whole world! It was WONKA'S FACTORY, owned by a man called Mr. Willy Wonka, the greatest inventor and maker of chocolates that there has ever been. And what a tremen-dous, marvelous place it was! It had huge iron gates lead-ing in to it, and a high wall surrounding it, and smoke belching from its chimneys, and strange whizzing sounds coming from deep inside it. And outside the walls, for half a mile around in every direction, the air was scented with the heavy rich smell of melting chocolate!",6,"It had huge iron gates lead-ing in to it, and a high wall surrounding it, and smoke belching from its chimneys, and strange whizzing sounds coming from deep inside it.",30,"['PRON', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'CCONJ', 'DET', 'ADV']",108
75,45,"And it wasn't simply an ordinary enormous chocolate factory, either. It was the largest and most famous in the whole world! It was WONKA'S FACTORY, owned by a man called Mr. Willy Wonka, the greatest inventor and maker of chocolates that there has ever been. And what a tremen-dous, marvelous place it was! It had huge iron gates lead-ing in to it, and a high wall surrounding it, and smoke belching from its chimneys, and strange whizzing sounds coming from deep inside it. And outside the walls, for half a mile around in every direction, the air was scented with the heavy rich smell of melting chocolate!",6,"And outside the walls, for half a mile around in every direction, the air was scented with the heavy rich smell of melting chocolate!",24,"['CCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADV', 'AUX', 'VERB', 'ADJ']",108
76,46,"Twice a day, on his way to and from school, little Char-lie Bucket had to walk right past the gates of the factory. And every time he went by, he would begin to walk very, very slowly, and he would hold his nose high in the air and take long deep sniffs of the gorgeous chocolatey smell all around him.",2,"Twice a day, on his way to and from school, little Char-lie Bucket had to walk right past the gates of the factory.",23,"['ADV', 'DET', 'NOUN', 'PUNCT', 'ADP', 'PRON', 'CCONJ', 'ADJ', 'PROPN', 'VERB', 'PART']",60
77,46,"Twice a day, on his way to and from school, little Char-lie Bucket had to walk right past the gates of the factory. And every time he went by, he would begin to walk very, very slowly, and he would hold his nose high in the air and take long deep sniffs of the gorgeous chocolatey smell all around him.",2,"And every time he went by, he would begin to walk very, very slowly, and he would hold his nose high in the air and take long deep sniffs of the gorgeous chocolatey smell all around him.",37,"['CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'ADV', 'PUNCT', 'AUX', 'PART', 'ADJ', 'ADP']",60
78,47,"Oh, how he loved that smell!",1,"Oh, how he loved that smell!",6,"['INTJ', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN']",6
79,48,"And oh, how he wished he could go inside the factory and see what it was like!",1,"And oh, how he wished he could go inside the factory and see what it was like!",17,"['CCONJ', 'INTJ', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'AUX', 'ADP', 'DET', 'NOUN']",17
80,49,я,1,я,1,['X'],1
81,50,я,1,я,1,['X'],1
82,51,я,1,я,1,['X'],1
83,52,я,1,я,1,['X'],1
84,53,я,1,я,1,['X'],1
85,54,я,1,я,1,['X'],1
86,55,я,1,я,1,['X'],1
